TIME,GEO,AIRPOL,SRC_CRF,Value
2008,Belgium,Perfluorocarbones (CO2 equivalent),Agriculture,:
2008,Belgium,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2008,Belgium,Perfluorocarbones (CO2 equivalent),Waste management,:
2008,Belgium,Perfluorocarbones (CO2 equivalent),Other sectors,0
2008,Belgium,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),All sectors and indirect CO2 (excluding memo items),:
2008,Belgium,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),All sectors and indirect CO2 (excluding LULUCF and memo items),:
2008,Belgium,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)",:
2008,Belgium,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),All sectors (excluding memo items),0
2008,Belgium,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),All sectors (excluding LULUCF and memo items),:
2008,Belgium,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"All sectors (excluding LULUCF and memo items, including international aviation)",:
2008,Belgium,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Energy,:
2008,Belgium,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Industrial processes and product use,0
2008,Belgium,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:
2008,Belgium,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2008,Belgium,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Waste management,:
2008,Belgium,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Other sectors,0
2008,Belgium,Sulphur hexafluoride (CO2 equivalent),All sectors and indirect CO2 (excluding memo items),86.88
2008,Belgium,Sulphur hexafluoride (CO2 equivalent),All sectors and indirect CO2 (excluding LULUCF and memo items),86.88
2008,Belgium,Sulphur hexafluoride (CO2 equivalent),"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)",86.88
2008,Belgium,Sulphur hexafluoride (CO2 equivalent),All sectors (excluding memo items),86.88
2008,Belgium,Sulphur hexafluoride (CO2 equivalent),All sectors (excluding LULUCF and memo items),86.88
2008,Belgium,Sulphur hexafluoride (CO2 equivalent),"All sectors (excluding LULUCF and memo items, including international aviation)",86.88
2008,Belgium,Sulphur hexafluoride (CO2 equivalent),Energy,:
2008,Belgium,Sulphur hexafluoride (CO2 equivalent),Industrial processes and product use,86.88
2008,Belgium,Sulphur hexafluoride (CO2 equivalent),Agriculture,:
2008,Belgium,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2008,Belgium,Sulphur hexafluoride (CO2 equivalent),Waste management,:
2008,Belgium,Sulphur hexafluoride (CO2 equivalent),Other sectors,0
2008,Belgium,Nitrogen trifluoride (CO2 equivalent),All sectors and indirect CO2 (excluding memo items),0.67
2008,Belgium,Nitrogen trifluoride (CO2 equivalent),All sectors and indirect CO2 (excluding LULUCF and memo items),0.67
2008,Belgium,Nitrogen trifluoride (CO2 equivalent),"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)",0.67
2008,Belgium,Nitrogen trifluoride (CO2 equivalent),All sectors (excluding memo items),0.67
2008,Belgium,Nitrogen trifluoride (CO2 equivalent),All sectors (excluding LULUCF and memo items),0.67
2008,Belgium,Nitrogen trifluoride (CO2 equivalent),"All sectors (excluding LULUCF and memo items, including international aviation)",0.67
2008,Belgium,Nitrogen trifluoride (CO2 equivalent),Energy,:
2008,Belgium,Nitrogen trifluoride (CO2 equivalent),Industrial processes and product use,0.67
2008,Belgium,Nitrogen trifluoride (CO2 equivalent),Agriculture,:
2008,Belgium,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2008,Belgium,Nitrogen trifluoride (CO2 equivalent),Waste management,:
2008,Belgium,Nitrogen trifluoride (CO2 equivalent),Other sectors,0
2008,Bulgaria,Carbon dioxide,All sectors and indirect CO2 (excluding memo items),"42,902.41"
2008,Bulgaria,Carbon dioxide,All sectors and indirect CO2 (excluding LULUCF and memo items),"53,973.93"
2008,Bulgaria,Carbon dioxide,"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)","54,607.27"
2008,Bulgaria,Carbon dioxide,All sectors (excluding memo items),"42,902.41"
2008,Bulgaria,Carbon dioxide,All sectors (excluding LULUCF and memo items),"53,973.93"
2008,Bulgaria,Carbon dioxide,"All sectors (excluding LULUCF and memo items, including international aviation)","54,607.27"
2008,Bulgaria,Carbon dioxide,Energy,"47,991.02"
2008,Bulgaria,Carbon dioxide,Industrial processes and product use,"5,920.21"
2008,Bulgaria,Carbon dioxide,Agriculture,20.3
2008,Bulgaria,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-11,071.51"
2008,Bulgaria,Carbon dioxide,Waste management,42.39
2008,Bulgaria,Carbon dioxide,Other sectors,0
2008,Bulgaria,Methane,All sectors and indirect CO2 (excluding memo items),324.41
2008,Bulgaria,Methane,All sectors and indirect CO2 (excluding LULUCF and memo items),323.9
2008,Bulgaria,Methane,"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)",323.91
2008,Bulgaria,Methane,All sectors (excluding memo items),324.41
2008,Bulgaria,Methane,All sectors (excluding LULUCF and memo items),323.9
2008,Bulgaria,Methane,"All sectors (excluding LULUCF and memo items, including international aviation)",323.91
2008,Bulgaria,Methane,Energy,57.43
2008,Bulgaria,Methane,Industrial processes and product use,0.78
2008,Bulgaria,Methane,Agriculture,76.83
2008,Bulgaria,Methane,"Land use, land use change, and forestry (LULUCF)",0.51
2008,Bulgaria,Methane,Waste management,188.87
2008,Bulgaria,Methane,Other sectors,0
2008,Bulgaria,Methane (CO2 equivalent),All sectors and indirect CO2 (excluding memo items),"8,110.21"
2008,Bulgaria,Methane (CO2 equivalent),All sectors and indirect CO2 (excluding LULUCF and memo items),"8,097.55"
2008,Bulgaria,Methane (CO2 equivalent),"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)","8,097.66"
2008,Bulgaria,Methane (CO2 equivalent),All sectors (excluding memo items),"8,110.21"
2008,Bulgaria,Methane (CO2 equivalent),All sectors (excluding LULUCF and memo items),"8,097.55"
2008,Bulgaria,Methane (CO2 equivalent),"All sectors (excluding LULUCF and memo items, including international aviation)","8,097.66"
2008,Bulgaria,Methane (CO2 equivalent),Energy,"1,435.77"
2008,Bulgaria,Methane (CO2 equivalent),Industrial processes and product use,19.41
2008,Bulgaria,Methane (CO2 equivalent),Agriculture,"1,920.7"
2008,Bulgaria,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",12.65
2008,Bulgaria,Methane (CO2 equivalent),Waste management,"4,721.67"
2008,Bulgaria,Methane (CO2 equivalent),Other sectors,0
2008,Bulgaria,Nitrous oxide,All sectors and indirect CO2 (excluding memo items),15.76
2008,Bulgaria,Nitrous oxide,All sectors and indirect CO2 (excluding LULUCF and memo items),14.25
2008,Bulgaria,Nitrous oxide,"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)",14.27
2008,Bulgaria,Nitrous oxide,All sectors (excluding memo items),15.76
2008,Bulgaria,Nitrous oxide,All sectors (excluding LULUCF and memo items),14.25
2008,Bulgaria,Nitrous oxide,"All sectors (excluding LULUCF and memo items, including international aviation)",14.27
2008,Bulgaria,Nitrous oxide,Energy,1.03
2008,Bulgaria,Nitrous oxide,Industrial processes and product use,1.96
2008,Bulgaria,Nitrous oxide,Agriculture,10.77
2008,Bulgaria,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",1.51
2008,Bulgaria,Nitrous oxide,Waste management,0.5
2008,Bulgaria,Nitrous oxide,Other sectors,0
2008,Bulgaria,Nitrous oxide (CO2 equivalent),All sectors and indirect CO2 (excluding memo items),"4,697.28"
2008,Bulgaria,Nitrous oxide (CO2 equivalent),All sectors and indirect CO2 (excluding LULUCF and memo items),"4,247.17"
2008,Bulgaria,Nitrous oxide (CO2 equivalent),"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)","4,252.45"
2008,Bulgaria,Nitrous oxide (CO2 equivalent),All sectors (excluding memo items),"4,697.28"
2008,Bulgaria,Nitrous oxide (CO2 equivalent),All sectors (excluding LULUCF and memo items),"4,247.17"
2008,Bulgaria,Nitrous oxide (CO2 equivalent),"All sectors (excluding LULUCF and memo items, including international aviation)","4,252.45"
2008,Bulgaria,Nitrous oxide (CO2 equivalent),Energy,307.35
2008,Bulgaria,Nitrous oxide (CO2 equivalent),Industrial processes and product use,583.03
2008,Bulgaria,Nitrous oxide (CO2 equivalent),Agriculture,"3,208.06"
2008,Bulgaria,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",450.11
2008,Bulgaria,Nitrous oxide (CO2 equivalent),Waste management,148.74
2008,Bulgaria,Nitrous oxide (CO2 equivalent),Other sectors,0
2008,Bulgaria,Hydrofluorocarbones (CO2 equivalent),All sectors and indirect CO2 (excluding memo items),625.89
2008,Bulgaria,Hydrofluorocarbones (CO2 equivalent),All sectors and indirect CO2 (excluding LULUCF and memo items),625.89
2008,Bulgaria,Hydrofluorocarbones (CO2 equivalent),"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)",625.89
2008,Bulgaria,Hydrofluorocarbones (CO2 equivalent),All sectors (excluding memo items),625.89
2008,Bulgaria,Hydrofluorocarbones (CO2 equivalent),All sectors (excluding LULUCF and memo items),625.89
2008,Bulgaria,Hydrofluorocarbones (CO2 equivalent),"All sectors (excluding LULUCF and memo items, including international aviation)",625.89
2008,Bulgaria,Hydrofluorocarbones (CO2 equivalent),Energy,:
2008,Bulgaria,Hydrofluorocarbones (CO2 equivalent),Industrial processes and product use,625.89
2008,Bulgaria,Hydrofluorocarbones (CO2 equivalent),Agriculture,:
2008,Bulgaria,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2008,Bulgaria,Hydrofluorocarbones (CO2 equivalent),Waste management,:
2008,Bulgaria,Hydrofluorocarbones (CO2 equivalent),Other sectors,0
2008,Bulgaria,Perfluorocarbones (CO2 equivalent),All sectors and indirect CO2 (excluding memo items),0.02
2008,Bulgaria,Perfluorocarbones (CO2 equivalent),All sectors and indirect CO2 (excluding LULUCF and memo items),0.02
2008,Bulgaria,Perfluorocarbones (CO2 equivalent),"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)",0.02
2008,Bulgaria,Perfluorocarbones (CO2 equivalent),All sectors (excluding memo items),0.02
2008,Bulgaria,Perfluorocarbones (CO2 equivalent),All sectors (excluding LULUCF and memo items),0.02
2008,Bulgaria,Perfluorocarbones (CO2 equivalent),"All sectors (excluding LULUCF and memo items, including international aviation)",0.02
2008,Bulgaria,Perfluorocarbones (CO2 equivalent),Energy,:
2008,Bulgaria,Perfluorocarbones (CO2 equivalent),Industrial processes and product use,0.02
2008,Bulgaria,Perfluorocarbones (CO2 equivalent),Agriculture,:
2008,Bulgaria,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2008,Bulgaria,Perfluorocarbones (CO2 equivalent),Waste management,:
2008,Bulgaria,Perfluorocarbones (CO2 equivalent),Other sectors,0
2008,Bulgaria,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),All sectors and indirect CO2 (excluding memo items),:
2008,Bulgaria,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),All sectors and indirect CO2 (excluding LULUCF and memo items),:
2008,Bulgaria,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)",:
2008,Bulgaria,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),All sectors (excluding memo items),0
2008,Bulgaria,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),All sectors (excluding LULUCF and memo items),:
2008,Bulgaria,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"All sectors (excluding LULUCF and memo items, including international aviation)",:
2008,Bulgaria,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Energy,:
2008,Bulgaria,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Industrial processes and product use,0
2008,Bulgaria,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:
2008,Bulgaria,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2008,Bulgaria,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Waste management,:
2008,Bulgaria,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Other sectors,0
2008,Bulgaria,Sulphur hexafluoride (CO2 equivalent),All sectors and indirect CO2 (excluding memo items),9.16
2008,Bulgaria,Sulphur hexafluoride (CO2 equivalent),All sectors and indirect CO2 (excluding LULUCF and memo items),9.16
2008,Bulgaria,Sulphur hexafluoride (CO2 equivalent),"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)",9.16
2008,Bulgaria,Sulphur hexafluoride (CO2 equivalent),All sectors (excluding memo items),9.16
2008,Bulgaria,Sulphur hexafluoride (CO2 equivalent),All sectors (excluding LULUCF and memo items),9.16
2008,Bulgaria,Sulphur hexafluoride (CO2 equivalent),"All sectors (excluding LULUCF and memo items, including international aviation)",9.16
2008,Bulgaria,Sulphur hexafluoride (CO2 equivalent),Energy,:
2008,Bulgaria,Sulphur hexafluoride (CO2 equivalent),Industrial processes and product use,9.16
2008,Bulgaria,Sulphur hexafluoride (CO2 equivalent),Agriculture,:
2008,Bulgaria,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2008,Bulgaria,Sulphur hexafluoride (CO2 equivalent),Waste management,:
2008,Bulgaria,Sulphur hexafluoride (CO2 equivalent),Other sectors,0
2008,Bulgaria,Nitrogen trifluoride (CO2 equivalent),All sectors and indirect CO2 (excluding memo items),:
2008,Bulgaria,Nitrogen trifluoride (CO2 equivalent),All sectors and indirect CO2 (excluding LULUCF and memo items),:
2008,Bulgaria,Nitrogen trifluoride (CO2 equivalent),"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)",:
2008,Bulgaria,Nitrogen trifluoride (CO2 equivalent),All sectors (excluding memo items),0
2008,Bulgaria,Nitrogen trifluoride (CO2 equivalent),All sectors (excluding LULUCF and memo items),:
2008,Bulgaria,Nitrogen trifluoride (CO2 equivalent),"All sectors (excluding LULUCF and memo items, including international aviation)",:
2008,Bulgaria,Nitrogen trifluoride (CO2 equivalent),Energy,:
2008,Bulgaria,Nitrogen trifluoride (CO2 equivalent),Industrial processes and product use,0
2008,Bulgaria,Nitrogen trifluoride (CO2 equivalent),Agriculture,:
2008,Bulgaria,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2008,Bulgaria,Nitrogen trifluoride (CO2 equivalent),Waste management,:
2008,Bulgaria,Nitrogen trifluoride (CO2 equivalent),Other sectors,0
2008,Czechia,Carbon dioxide,All sectors and indirect CO2 (excluding memo items),"118,060.78"
2008,Czechia,Carbon dioxide,All sectors and indirect CO2 (excluding LULUCF and memo items),"124,004.46"
2008,Czechia,Carbon dioxide,"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)","125,122.98"
2008,Czechia,Carbon dioxide,All sectors (excluding memo items),"117,030.14"
2008,Czechia,Carbon dioxide,All sectors (excluding LULUCF and memo items),"122,973.82"
2008,Czechia,Carbon dioxide,"All sectors (excluding LULUCF and memo items, including international aviation)","124,092.34"
2008,Czechia,Carbon dioxide,Energy,"109,199.79"
2008,Czechia,Carbon dioxide,Industrial processes and product use,"13,465.32"
2008,Czechia,Carbon dioxide,Agriculture,195.75
2008,Czechia,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-5,943.68"
2008,Czechia,Carbon dioxide,Waste management,112.96
2008,Czechia,Carbon dioxide,Other sectors,0
2008,Czechia,Methane,All sectors and indirect CO2 (excluding memo items),585.67
2008,Czechia,Methane,All sectors and indirect CO2 (excluding LULUCF and memo items),583.16
2008,Czechia,Methane,"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)",583.16
2008,Czechia,Methane,All sectors (excluding memo items),585.67
2008,Czechia,Methane,All sectors (excluding LULUCF and memo items),583.16
2008,Czechia,Methane,"All sectors (excluding LULUCF and memo items, including international aviation)",583.16
2008,Czechia,Methane,Energy,267.17
2008,Czechia,Methane,Industrial processes and product use,2.4
2008,Czechia,Methane,Agriculture,147.65
2008,Czechia,Methane,"Land use, land use change, and forestry (LULUCF)",2.52
2008,Czechia,Methane,Waste management,165.94
2008,Czechia,Methane,Other sectors,0
2008,Czechia,Methane (CO2 equivalent),All sectors and indirect CO2 (excluding memo items),"14,641.79"
2008,Czechia,Methane (CO2 equivalent),All sectors and indirect CO2 (excluding LULUCF and memo items),"14,578.9"
2008,Czechia,Methane (CO2 equivalent),"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)","14,579.1"
2008,Czechia,Methane (CO2 equivalent),All sectors (excluding memo items),"14,641.79"
2008,Czechia,Methane (CO2 equivalent),All sectors (excluding LULUCF and memo items),"14,578.9"
2008,Czechia,Methane (CO2 equivalent),"All sectors (excluding LULUCF and memo items, including international aviation)","14,579.1"
2008,Czechia,Methane (CO2 equivalent),Energy,"6,679.25"
2008,Czechia,Methane (CO2 equivalent),Industrial processes and product use,60.03
2008,Czechia,Methane (CO2 equivalent),Agriculture,"3,691.16"
2008,Czechia,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",62.89
2008,Czechia,Methane (CO2 equivalent),Waste management,"4,148.47"
2008,Czechia,Methane (CO2 equivalent),Other sectors,0
2008,Czechia,Nitrous oxide,All sectors and indirect CO2 (excluding memo items),20.04
2008,Czechia,Nitrous oxide,All sectors and indirect CO2 (excluding LULUCF and memo items),19.88
2008,Czechia,Nitrous oxide,"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)",19.91
2008,Czechia,Nitrous oxide,All sectors (excluding memo items),20.04
2008,Czechia,Nitrous oxide,All sectors (excluding LULUCF and memo items),19.88
2008,Czechia,Nitrous oxide,"All sectors (excluding LULUCF and memo items, including international aviation)",19.91
2008,Czechia,Nitrous oxide,Energy,2.3
2008,Czechia,Nitrous oxide,Industrial processes and product use,3.02
2008,Czechia,Nitrous oxide,Agriculture,13.71
2008,Czechia,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.16
2008,Czechia,Nitrous oxide,Waste management,0.84
2008,Czechia,Nitrous oxide,Other sectors,0
2008,Czechia,Nitrous oxide (CO2 equivalent),All sectors and indirect CO2 (excluding memo items),"5,970.61"
2008,Czechia,Nitrous oxide (CO2 equivalent),All sectors and indirect CO2 (excluding LULUCF and memo items),"5,923.2"
2008,Czechia,Nitrous oxide (CO2 equivalent),"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)","5,932.63"
2008,Czechia,Nitrous oxide (CO2 equivalent),All sectors (excluding memo items),"5,970.61"
2008,Czechia,Nitrous oxide (CO2 equivalent),All sectors (excluding LULUCF and memo items),"5,923.2"
2008,Czechia,Nitrous oxide (CO2 equivalent),"All sectors (excluding LULUCF and memo items, including international aviation)","5,932.63"
2008,Czechia,Nitrous oxide (CO2 equivalent),Energy,686.23
2008,Czechia,Nitrous oxide (CO2 equivalent),Industrial processes and product use,901.31
2008,Czechia,Nitrous oxide (CO2 equivalent),Agriculture,"4,085.54"
2008,Czechia,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",47.41
2008,Czechia,Nitrous oxide (CO2 equivalent),Waste management,250.12
2008,Czechia,Nitrous oxide (CO2 equivalent),Other sectors,0
2008,Czechia,Hydrofluorocarbones (CO2 equivalent),All sectors and indirect CO2 (excluding memo items),"2,009.94"
2008,Czechia,Hydrofluorocarbones (CO2 equivalent),All sectors and indirect CO2 (excluding LULUCF and memo items),"2,009.94"
2008,Czechia,Hydrofluorocarbones (CO2 equivalent),"All sectors and indirect CO2 (excluding LULUCF and memo items, including international aviation)","2,009.94"
2008,Czechia,Hydrofluorocarbones (CO2 equivalent),All sectors (excluding memo items),"2,009.94"
2008,Czechia,Hydrofluorocarbones (CO2 equivalent),All sectors (excluding LULUCF and memo items),"2,009.94"
2008,Czechia,Hydrofluorocarbones (CO2 equivalent),"All sectors (excluding LULUCF and memo items, including international aviation)","2,009.94"
2008,Czechia,Hydrofluorocarbones (CO2 equivalent),Energy,:
2008,Czechia,Hydrofluorocarbones (CO2 equivalent),Industrial processes and product use,"2,009.94"
2008,Czechia,Hydrofluorocarbones (CO2 equivalent),Agriculture,:
2008,Czechia,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
